SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
桃園(觀音工業區),桃園市,56,懸浮微粒,普通,0.2,0.06,0.1,37,35,59,13,4.3,5.8,1.5,7.7,57,2019-11-01 15:00,13,62,0,121.128044,25.063039,312
屏東(琉球),屏東縣,126,臭氧八小時,對敏感族群不健康,2.8,0.25,0.3,77,78,46,25,4.9,5.5,0.6,1.6,322,2019-11-01 15:00,31,59,3,120.377222,22.352222,204
新竹(香山),新竹市,40,,良好,1.5,0.16,0.2,44,43,32,10,7.8,11,2.9,2.2,206,2019-11-01 15:00,11,34,2,120.913297,24.765925,203
彰化(大城),彰化縣,49,,良好,2.6,0.24,0.3,60,50,46,15,3,3.8,0.8,7.5,108,2019-11-01 15:00,15,46,3,120.273117,23.843139,202
臺南(麻豆),臺南市,97,細懸浮微粒,普通,3,0.12,0.3,77,63,80,27,9.3,9.9,0.6,2.9,309,2019-11-01 15:00,34,87,2,120.245831,23.179047,201
富貴角,新北市,44,,良好,0.3,0.07,0.1,46,48,43,8,0.7,0.9,0.2,8.6,72,2019-11-01 15:00,10,42,1,121.536763,25.298562,84
麥寮,雲林縣,86,懸浮微粒,普通,1.6,0.16,0.3,51,42,156,19,4.8,8.9,4.2,5,6.3,2019-11-01 15:00,24,105,2,120.251825,23.753506,83
關山,臺東縣,20,,良好,1.1,-,,35,22,11,7,2.3,2.9,0.6,1.6,28,2019-11-01 15:00,3,9,1,121.161933,23.045083,80
馬公,澎湖縣,47,,良好,0.8,0.13,0.2,49,51,36,12,1.4,5.7,4.3,7.6,20,2019-11-01 15:00,12,40,1,119.566158,23.569031,78
金門,金門縣,61,臭氧八小時,普通,3.4,0.24,0.2,74,58,69,19,6.8,7.7,0.9,3.4,50,2019-11-01 15:00,19,68,3,118.312256,24.432133,77
馬祖,連江縣,64,臭氧八小時,普通,1.6,0.1,0.1,69,59,31,11,3.5,4.7,1.2,4,325,2019-11-01 15:00,12,29,2,119.949875,26.160469,75
埔里,南投縣,74,細懸浮微粒,普通,1.2,0.33,0.4,64,50,50,23,7.4,9.3,1.9,1.3,285,2019-11-01 15:00,25,45,2,120.967903,23.968842,72
復興,高雄市,87,細懸浮微粒,普通,2.2,0.38,0.7,55,45,58,29,15,19,4,1.3,219,2019-11-01 15:00,30,67,3,120.312017,22.608711,71
